arch,n_episodes_logged,mean,variance,min,max
individual,155,2.430299997329712,0.07459922670931989,2.161877393722534,3.2172701358795166
shared,155,2.1417347998178053,0.6532644908333918,-0.8436459898948669,2.57572340965271
mixed,155,2.434427167523292,0.07332360804098793,2.1546995639801025,3.217081069946289
